4,4,1,0
5,4,2,2
6,4,3,8
7,5,1,0
8,5,2,8
14,11,1,0
15,11,2,4
17,13,1,0
18,13,2,24
21,16,1,0
22,16,2,4
25,19,1,0
26,19,2,3
28,21,1,0
29,21,2,2
30,21,3,2
31,21,4,13
32,21,5,2
35,24,1,0
36,24,2,22
40,28,1,0
41,28,2,11
45,32,1,0
46,32,2,13
48,34,1,0
49,34,2,17
50,35,1,0
51,35,2,9
52,36,1,0
53,36,2,1
56,39,1,0
57,39,2,38
59,41,1,0
60,41,2,6
61,42,1,0
62,42,2,50
64,44,1,0
65,44,2,5
66,45,1,0
67,45,2,15
68,45,3,10
69,45,4,12
75,51,1,0
76,51,2,10
78,53,1,0
79,53,2,8
82,56,1,0
83,56,2,41
86,59,1,0
87,59,2,14
89,61,1,0
90,61,2,28
92,63,1,0
93,63,2,6
98,68,1,0
99,68,2,36
101,70,1,0
102,70,2,12
103,71,1,0
104,71,2,30
109,76,1,0
110,76,2,1
111,76,3,22
120,85,1,0
121,85,2,4
122,85,3,1
123,85,4,5
124,85,5,4
125,85,6,5
126,85,7,3
127,85,8,2
128,85,9,1
129,85,10,3
130,85,11,2
131,85,12,2
132,85,13,5
133,85,14,1
134,85,15,1
135,85,16,2
136,85,17,11
139,88,1,0
140,88,2,13
141,88,3,13
148,95,1,0
149,95,2,16
169,115,1,0
170,115,2,21
174,119,1,0
175,119,2,4
177,121,1,0
178,121,2,26
190,133,1,0
191,133,2,4
192,134,1,0
193,134,2,22
207,148,1,0
208,148,2,21
209,148,3,8
219,158,1,0
220,158,2,1
221,159,1,0
222,159,2,9
255,192,1,0
256,192,2,4
269,205,1,0
270,205,2,14
279,214,1,0
280,214,2,1
281,214,3,24
289,222,1,0
290,222,2,39
291,222,3,6
294,225,1,0
295,225,2,30
300,230,1,0
301,230,2,15
304,233,1,0
305,233,2,7
306,233,3,6
320,247,1,0
321,247,2,31
332,258,1,0
333,258,2,2
341,266,1,0
342,266,2,10
357,281,1,0
358,281,2,29
359,281,3,2
361,283,1,0
362,283,2,13
373,294,1,0
374,294,2,13
375,295,1,0
376,295,2,4
402,321,1,0
403,321,2,12
410,328,1,0
411,328,2,12
420,337,1,0
421,337,2,5
425,341,1,0
426,341,2,20
432,347,1,0
433,347,2,24
434,348,1,0
435,348,2,4
436,348,3,3
447,359,1,0
448,359,2,28
449,359,3,11
450,360,1,0
451,360,2,22
455,364,1,0
456,364,2,10
466,374,1,0
467,374,2,12
468,374,3,4
469,374,4,19
481,386,1,0
482,386,2,24
484,388,1,0
485,388,2,36
487,390,1,0
488,390,2,14
494,396,1,0
495,396,2,7
496,396,3,11
497,396,4,9
498,396,5,29
501,399,1,0
502,399,2,9
504,401,1,0
505,401,2,11
528,424,1,0
529,424,2,31
535,430,1,0
536,430,2,30
558,452,1,0
559,452,2,7
561,454,1,0
562,454,2,23
577,469,1,0
578,469,2,5
579,469,3,18
581,471,1,0
582,471,2,1
587,476,1,0
588,476,2,5
596,484,1,0
597,484,2,1
602,489,1,0
603,489,2,21
610,496,1,0
611,496,2,11
613,498,1,0
614,498,2,10
615,499,1,0
616,499,2,36
624,507,1,0
