4,4,1,0,1
5,4,2,2,0
6,4,3,8,1
7,5,1,0,1
8,5,2,8,1
14,11,1,0,1
15,11,2,4,0
17,13,1,0,1
18,13,2,24,1
21,16,1,0,1
22,16,2,4,0
25,19,1,0,1
26,19,2,3,0
28,21,1,0,1
29,21,2,2,0
30,21,3,2,0
31,21,4,13,1
32,21,5,2,0
35,24,1,0,1
36,24,2,22,1
40,28,1,0,1
41,28,2,11,1
45,32,1,0,1
46,32,2,13,1
48,34,1,0,1
49,34,2,17,1
50,35,1,0,1
51,35,2,9,1
52,36,1,0,1
53,36,2,1,0
56,39,1,0,1
57,39,2,38,1
59,41,1,0,1
60,41,2,6,1
61,42,1,0,1
62,42,2,50,1
64,44,1,0,1
65,44,2,5,1
66,45,1,0,1
67,45,2,15,1
68,45,3,10,1
69,45,4,12,1
75,51,1,0,1
76,51,2,10,1
78,53,1,0,1
79,53,2,8,1
82,56,1,0,1
83,56,2,41,1
86,59,1,0,1
87,59,2,14,1
89,61,1,0,1
90,61,2,28,1
92,63,1,0,1
93,63,2,6,1
98,68,1,0,1
99,68,2,36,1
101,70,1,0,1
102,70,2,12,1
103,71,1,0,1
104,71,2,30,1
109,76,1,0,1
110,76,2,1,0
111,76,3,22,1
120,85,1,0,1
121,85,2,4,0
122,85,3,1,1
123,85,4,5,1
124,85,5,4,0
125,85,6,5,1
126,85,7,3,0
127,85,8,2,1
128,85,9,1,0
129,85,10,3,0
130,85,11,2,1
131,85,12,2,0
132,85,13,5,1
133,85,14,1,0
134,85,15,1,0
135,85,16,2,0
136,85,17,11,1
139,88,1,0,1
140,88,2,13,1
141,88,3,13,1
148,95,1,0,1
149,95,2,16,1
169,115,1,0,1
170,115,2,21,1
174,119,1,0,1
175,119,2,4,0
177,121,1,0,1
178,121,2,26,1
190,133,1,0,1
191,133,2,4,0
192,134,1,0,1
193,134,2,22,1
207,148,1,0,1
208,148,2,21,1
209,148,3,8,1
219,158,1,0,1
220,158,2,1,0
221,159,1,0,1
222,159,2,9,1
255,192,1,0,1
256,192,2,4,0
269,205,1,0,1
270,205,2,14,1
279,214,1,0,1
280,214,2,1,0
281,214,3,24,1
289,222,1,0,1
290,222,2,39,1
291,222,3,6,1
294,225,1,0,1
295,225,2,30,1
300,230,1,0,1
301,230,2,15,1
304,233,1,0,1
305,233,2,7,1
306,233,3,6,1
320,247,1,0,1
321,247,2,31,1
332,258,1,0,1
333,258,2,2,0
341,266,1,0,1
342,266,2,10,1
357,281,1,0,1
358,281,2,29,1
359,281,3,2,0
361,283,1,0,1
362,283,2,13,1
373,294,1,0,1
374,294,2,13,1
375,295,1,0,1
376,295,2,4,0
402,321,1,0,1
403,321,2,12,1
410,328,1,0,1
411,328,2,12,1
420,337,1,0,1
421,337,2,5,1
425,341,1,0,1
426,341,2,20,1
432,347,1,0,1
433,347,2,24,1
434,348,1,0,1
435,348,2,4,0
436,348,3,3,1
447,359,1,0,1
448,359,2,28,1
449,359,3,11,1
450,360,1,0,1
451,360,2,22,1
455,364,1,0,1
456,364,2,10,1
466,374,1,0,1
467,374,2,12,1
468,374,3,4,0
469,374,4,19,1
481,386,1,0,1
482,386,2,24,1
484,388,1,0,1
485,388,2,36,1
487,390,1,0,1
488,390,2,14,1
494,396,1,0,1
495,396,2,7,1
496,396,3,11,1
497,396,4,9,1
498,396,5,29,1
501,399,1,0,1
502,399,2,9,1
504,401,1,0,1
505,401,2,11,1
528,424,1,0,1
529,424,2,31,1
535,430,1,0,1
536,430,2,30,1
558,452,1,0,1
559,452,2,7,1
561,454,1,0,1
562,454,2,23,1
577,469,1,0,1
578,469,2,5,1
579,469,3,18,1
581,471,1,0,1
582,471,2,1,0
587,476,1,0,1
588,476,2,5,1
596,484,1,0,1
597,484,2,1,0
602,489,1,0,1
603,489,2,21,1
610,496,1,0,1
611,496,2,11,1
613,498,1,0,1
614,498,2,10,1
615,499,1,0,1
616,499,2,36,1
624,507,1,0,1
625,507,2,2,0
626,507,3,19,1
628,509,1,0,1
629,509,2,4,0
635,515,1,0,1
636,515,2,38,1
637,516,1,0,1
638,516,2,6,1
651,529,1,0,1
652,529,2,3,0
653,529,3,27,1
655,531,1,0,1
656,531,2,7,1
676,551,1,0,1
677,551,2,13,1
683,557,1,0,1
684,557,2,9,1
695,568,1,0,1
696,568,2,7,1
703,575,1,0,1
704,575,2,15,1
706,577,1,0,1
707,577,2,7,1
709,579,1,0,1
710,579,2,4,0
714,583,1,0,1
715,583,2,40,1
717,585,1,0,1
718,585,2,4,0
720,587,1,0,1
721,587,2,14,1
722,587,3,22,1
735,600,1,0,1
736,600,2,27,1
740,604,1,0,1
741,604,2,7,1
742,605,1,0,1
743,605,2,3,0
744,605,3,4,1
745,606,1,0,1
746,606,2,2,0
747,606,3,5,1
761,620,1,0,1
762,620,2,5,1
774,632,1,0,1
775,632,2,5,1
776,632,3,25,1
778,634,1,0,1
779,634,2,55,1
783,638,1,0,1
784,638,2,6,1
788,642,1,0,1
789,642,2,1,0
790,643,1,0,1
791,643,2,9,1
792,644,1,0,1
793,644,2,7,1
804,655,1,0,1
805,655,2,1,0
806,655,3,5,1
808,657,1,0,1
809,657,2,7,1
829,677,1,0,1
830,677,2,24,1
844,691,1,0,1
845,691,2,4,0
846,691,3,2,1
849,694,1,0,1
850,694,2,30,1
856,700,1,0,1
857,700,2,3,0
865,708,1,0,1
866,708,2,28,1
868,710,1,0,1
869,710,2,2,0
880,721,1,0,1
881,721,2,3,0
884,724,1,0,1
885,724,2,2,0
886,724,3,1,0
887,725,1,0,1
888,725,2,4,0
892,729,1,0,1
893,729,2,7,1
912,748,1,0,1
913,748,2,44,1
916,751,1,0,1
917,751,2,14,1
922,756,1,0,1
923,756,2,42,1
924,757,1,0,1
925,757,2,8,1
926,757,3,38,1
927,757,4,3,0
929,759,1,0,1
930,759,2,34,1
934,763,1,0,1
935,763,2,18,1
943,771,1,0,1
944,771,2,13,1
948,775,1,0,1
949,775,2,33,1
950,776,1,0,1
951,776,2,16,1
957,782,1,0,1
958,782,2,8,1
961,785,1,0,1
962,785,2,2,0
967,790,1,0,1
968,790,2,15,1
980,802,1,0,1
981,802,2,13,1
982,803,1,0,1
983,803,2,4,0
987,807,1,0,1
988,807,2,49,1
990,809,1,0,1
991,809,2,40,1
999,817,1,0,1
1000,817,2,26,1
1002,819,1,0,1
1003,819,2,1,0
1005,821,1,0,1
1006,821,2,31,1
1008,823,1,0,1
1009,823,2,13,1
1010,824,1,0,1
1011,824,2,42,1
1016,829,1,0,1
1017,829,2,11,1
1019,831,1,0,1
1020,831,2,17,1
1021,831,3,7,1
1022,831,4,4,0
1027,836,1,0,1
1028,836,2,29,1
1029,836,3,9,1
1030,837,1,0,1
1031,837,2,8,1
1039,845,1,0,1
1040,845,2,21,1
1044,849,1,0,1
1045,849,2,1,0
1046,850,1,0,1
1047,850,2,25,1
1055,858,1,0,1
1056,858,2,2,0
1059,861,1,0,1
1060,861,2,39,1
1061,862,1,0,1
1062,862,2,35,1
1063,862,3,4,0
1069,868,1,0,1
1070,868,2,10,1
1071,868,3,16,1
1077,874,1,0,1
1078,874,2,5,1
1079,874,3,16,1
1085,880,1,0,1
1086,880,2,21,1
1087,880,3,16,1
1089,882,1,0,1
1090,882,2,44,1
1106,898,1,0,1
1107,898,2,1,0
1108,898,3,5,1
1109,898,4,8,1
1113,902,1,0,1
1114,902,2,8,1
1115,902,3,16,1
1133,920,1,0,1
1134,920,2,13,1
1136,922,1,0,1
1137,922,2,1,0
1143,928,1,0,1
1144,928,2,2,0
1145,928,3,7,1
1148,931,1,0,1
